date;hashtag;tweet;username;intent;emotion
22/05/2020 14:02;['#indonesiaterserah', '#indonesiamelawancovid19'];ayo kakak silahkan mampirbisa langsung pesan peti mati plus bubble wrap lhoindonesiaterserahindonesiamelawancovid19 ;endras fitrias;negative;anger
22/05/2020 14:02;['#indonesiaterserah'];tp jk km berpikir covid19 tdk membahayakan yaa keluar rumah berlalulalang antri dimcd bandara soetta indira kalistha aa utapbiasanya mrk yg bosen di rmh harus bekerja takut miskindahalmiskinrame percaya konspirasitaulah cape indonesiaterserah;tresna putra;negative;anger
22/05/2020 14:01;['#indonesiaterserah'];menjaga kesehatan itu wajib shalat ied itu sunah memakai baju baru di hari lebaran itu bukan wajib bukan sunnah hanya mubah saja yg dianjurkan itu baju terbaik tapi sepertinya banyak yg memilih mengorbankan yg wajib menjaga kdemi yg mubah outfit lebaranindonesiaterserah;amien budi utomo;negative;sad
22/05/2020 13:58;['#indonesiaterserah'];yang ga bisa diem di rmh di minta tolongin tenaga medis tuindonesiaterserah pictwittercomw6czugsmmy;krabby patty;negative;
22/05/2020 13:58;['#indonesiaterserah'];sekarang indonesia udah kayak cewekterserahindonesiaterserah;nanonano;negative;anger
22/05/2020 13:57;['#indonesiaterserah'];karena pemerintah mencla mencle katane ada pelonggaran psbb terus setelah itu ngomong lagi gax ada pelonggaran psbb jadi rakyat bingung dipermainkan pemerintah indonesiaterserah;haniefinst;negative;anger
22/05/2020 13:57;['#indonesiasehatdarirumah', '#lebaran2020', '#indonesiaterserah', '#kapancovid19berakhir'];saktinyawarga kampung emak paham kan indonesiasehatdarirumahlebaran2020indonesiaterserahkapancovid19berakhir ;mak centong 511;negative;anger
22/05/2020 13:56;['#indonesiaterserah'];fenomena negarakutoh ada sekarang aplikasi tokopediashopeebuka lapak yang menyediakan berbagai macam bajubagus order disana yang penting niatnya tersampaikanbeli baju lebarankalau sampai kalian keluarkumpul2 di mallitu tidak taat kepada pemimpinindonesiaterserah;ramses;negative;anger
22/05/2020 13:55;['#indonesiaterserah', '#sukasukakalian'];demi kepentingan bersama jangan gede gede an gaya di hari rayaindonesiaterserah sukasukakalian pictwittercomeywjxf41pd;dani frashtio;negative;anger
22/05/2020 13:54;['#indonesiaterserah'];kesadaran lebih penting untuk sekarang ego tidak dibutuhkan saat ini makasihindonesiaterserah; ;negative;sad
22/05/2020 13:52;['#indonesiaterserah'];konser boleh yang penting peyelenggaranya pejabat negara indonesiaterserah;art 0p0s1s1;negative;anger
22/05/2020 13:51;['#indonesia', '#indonesiaterserah'];banyakin bersyukur sajaindonesia indonesiaterserah benteng pendem ambarawa ;gemahtransindo;positive;
22/05/2020 13:49;['#indonesiaterserah'];gajelas emang belajar nulis psbb yg bener dulu aja deh mending indonesiaterserah;rikqy cahyo d;negative;anger
22/05/2020 13:48;['#indonesiaterserah', '#lindungiparamedis'];so kenapa kalo mereka menuntut hak mereka mereka dan keluarga mereka juga membutuhkan stabilitas seharusnya yang di atas mendengarkan bukan langsung main hantam begitu saja ini adalah orang2 yg berada di garda depan pandemi lohindonesiaterserahlindungiparamedis ;patricia beata kurnia;negative;anger
22/05/2020 13:47;['#indonesiaterserah'];kalian terlalu sibuk dengan indonesiaterserah sampai2 kalian lupa bahwa malem ini taraweh terakhir;aji kun;negative;sad
22/05/2020 13:47;['#indonesiaterserah'];manusia di bumi tuh udh kebanyakan nah ngurangin nya sekarang adalah waktu yg tepat dengan cara yg gampang bgt yukk keluar rumah keluar daerah liburan udh sumpek kan drumah gak usah deh pake masker dan social distanceindonesiaterserah;marsya;negative;anger
22/05/2020 13:47;['#indonesiaterserah', '#indonesiakamisudahcapek'];ditambah lagi muncul kebijakankebijakan yang tidak jelas seperti isu bpjs isu tenaga asing dan isuisu lainnya kami semua sudah sangat sabar tapi sekarang terserah kami sudah lelah dan capek so tidak di gaji pulak indonesiaterserah indonesiakamisudahcapek;bameswara;negative;anger
22/05/2020 13:47;['#indonesiaterserah'];yang jualan malah senang anjng indonesiaterserah pictwittercomb6vqyj42qq;jaleee;negative;anger
22/05/2020 13:47;['#indonesiaterserah', '#bukannyamenyerah', '#ikutmikir'];kita itu kembali kepraaksarayang gak ada bahasadan belum ngerti kata sesamadan sekarang jugasemua katadan tidak lupa suaragak dimengerti pemilik telinga atau emang mereka budeg saja ah au gelap mbaindonesiaterserahbukannyamenyerahikutmikir;bankz;negative;anger
22/05/2020 13:44;['#indonesiaterserah'];abis baca thread indonesiaterserah jadi merasa dosa bgt kemaren keluar rumah haha hihi ketiwi2 kea corona udh g ada harga dirinya;sayang;negative;sad
22/05/2020 13:42;['#indonesiaterserah', '#indonesiajanganterserah', '#indonesiaterserahsukasukakalian'];beredar sebuah video seorg perawat yg turun ke jalan menyatakan protes kpd warga indonesiaterserah indonesiajanganterserah indonesiaterserahsukasukakalian pictwittercom3svnu8tzwa;combroofpapua;negative;
22/05/2020 13:41;['#indonesiaterserah', '#indonesiawhatever'];pemerintah plin plan ga jelas makanya jd rakyatnya bingung indonesiaterserah indonesiawhatever;steven gan;negative;anger
22/05/2020 13:39;['#indonesiaterserah', '#indonesiawhatever'];jangan ki sedih cukup indonesia saja yang sedih melihat rakyatnya bebal terhadap aturan indonesiaterserah indonesiawhatever;andipettapuangkrdaeng;negative;anger
22/05/2020 13:39;['#covid19', '#indonesiaterserah'];direktur rsud tangerang henny herlina sedih dgn banyak masyarakat belanja kebutuhan lebaran di mall dan pasar kami ada di rumah sakit berjuang menyembuhkan para pasien covid19 angkanya semakin banyak indonesiaterserah pictwittercomhegklsxb5y;andreas harsono;negative;sad
22/05/2020 13:38;['#indonesiaterserah', '#indonesiamenyerah'];berkelanjutan entah sampai kapansi a bilang beginisi b bilang begitusi c tidak punya pendiriansampai akhirnya wabah ini berkepanjangan dan yg sudah berkorban cuma bisa bilang indonesiaterserah bukan berarti indonesiamenyerah ;sptnrsdi;negative;sad
22/05/2020 13:37;['#indonesiaterserah'];indonesiaterserah kalo liat temen masih nongkrong pas kondisi kayak gini rasanya gue khawatir banget tapi kalo dia mati gue ikhlas banget mampus wkwkwk;abel sheva;negative;anger
22/05/2020 13:36;['#indonesiaterserah', '#indonesiawhatever', '#indonesiakumahasia'];trus berarti boleh suka2 gitu cerdas sekali indonesiaterserahindonesiawhatever indonesiakumahasia ;antonius joko eko p;negative;anger
22/05/2020 13:34;['#indonesiaterserah'];curahan hati dan teriakan para medis yang sudah capek dengan masyarakat yg bandel tadi sore di kota bangil indonesiaterserah pictwittercomhwllxtwdug;dyy;negative;sad
22/05/2020 13:34;['#indonesiaterserah'];kalau begini kapan selesainya indonesiaterserah pictwittercomjewmwq5qqk;intanrs;negative;fear
22/05/2020 13:33;['#indonesiaterserah'];indonesiaterserah mending pengobatan corona bayar sendiri jadi yang kaya jadi miskin yang miskin jadi gada;abel sheva;negative;sad
22/05/2020 13:33;['#indonesiaterserah', '#indonesiawhatever'];hedehhh gedeg banget liat keadaan tanah kelahiran yang sekarang wes rek sakarepmu indonesiaterserah indonesiawhatever ;;negative;anger
22/05/2020 13:32;['#indonesiaterserah', '#bukber', '#bukapuasabersama', '#karawang'];ini tentang aku kamu kita semuayang pengennya covid 19 ilang tapi masih suka kumpulindonesiaterserah bukber bukapuasabersama karawang karawang jabar ;irfan kurniawan;negative;sad
22/05/2020 13:30;['#indonesiaterserah'];herd imunitypada akhirnya ditempuh selayaknya seleksi alam yang kuat yang bertahanindonesiaterserah;farhah;negative;sad
22/05/2020 13:30;['#indonesiaterserah'];sak karepmu indonesiaterserah ;iksan solo;negative;anger
22/05/2020 13:29;['#indonesiaterserah'];tenaga nakes disumpah apapun yg terjadi beratringan tetap dihadapi mestinya ga usah mengeluh bekerjalah sesuai kemampuan ga perlu berlebihan indonesiaterserah;fajar k;negative;anger
22/05/2020 13:28;['#indonesiaterserah'];kek punya banyak nyawa lu pada fuceklah otaknya kaga dipake indonesiaterserah cc tiktokchairoardian pictwittercomtaobsx518w;yaallah ampuni hambamu ini;negative;anger
22/05/2020 13:28;['#indonesiaterserah', '#indonesiasemakinmumet'];sekuat mereka berjuang ada kalanya merasa bosan karna kalian mencari kesenanganindonesiaterserahindonesiasemakinmumet pictwittercomv27xh8hsky;naqthell;negative;sad
22/05/2020 13:27;['#indonesiaterserah', '#jokowisilakanmundur'];sambat ra dikeki bantuan bareng di kek i bantuan sembako ne di dol nggo tuku baju lebaranjare ra ndue duit nggo mangan tapi kok iso tuku pedamotor anyarindonesiaterserahjokowisilakanmundur kok do ngekon ngekon mundur hla po koe do wes manut tak takon;nama tidak boleh kosong;negative;anger
22/05/2020 13:25;['#indonesiaterserah'];jadi manusia cobalah fair dengan diri sendiri bingung liat kondisi manusia saat ini aturan plinplan perbedaan kasta tidak jelas maunya apasihindonesiaterserah;riswal rezky et;negative;anger
22/05/2020 13:23;['#indonesiaterserah'];yg positif makin bertambah banyak nakes semakin kewalahan dan ada yg angkat topi indonesiaterserah karena makin banyak nya orang yg berada diluar rumah karena kebijakan2 pemerintah yg aneh dan tak terkontrolbelum lg para tka china yg sering masuk ke indonesia ditengah pandemi;benny;negative;sad
22/05/2020 13:23;['#viruscorona', '#kumparansains', '#indonesiaterserah'];selamat utk kurva kasus viruscorona di indonesia yg dibln mei naik tajam seperti gunung gede jk kurva tdk juga turun jgn berharap psbb dilonggarkancc jokowi n mohmahfudmd n nadirskumparansainsindonesiaterserah ;golputers;negative;anger
22/05/2020 13:22;['#indonesiaterserah'];sak karepmuindonesiaterserah;agus kila;negative;anger
22/05/2020 13:19;['#indonesiaterserah'];indonesiaterserah glenn fredly kali terserah;wenny johan;negative;anger
22/05/2020 13:18;['#indonesiaterserah'];garagara masyarakat banyak yg nakal ngelanggar protokol kesehatan covid19 psbb di perpanjang jadi psbbbbbbbb indonesiaterserah;dimasauliadinss;negative;anger
22/05/2020 13:18;['#indonesiaterserah'];iko namo nyo indonesiaterserah pak etek;asuhan2nd;negative;anger
22/05/2020 13:17;['#indonesiaterserah'];ngak pernah bisa percaya omongan koruptorindonesiaterserah;golputers;negative;anger
22/05/2020 13:15;['#indonesiaterserah', '#indonesiajanganterserah'];indonesiaterserah atau indonesiajanganterserah pictwittercom6ogthizlkz;pingky;negative;
22/05/2020 13:14;['#indonesiaterserah', '#indonesiasakkarepmu'];kalian asik berbelanja pakaian nah coba diliat dari posisi mereka tenaga medis yg menangani pasien covid19 mereka ingin kumpul keluarga dan berbelanja juga coba bayangin tenaga medisnya ikut belanja kaya kalian yg susah disuruh psbb indonesiaterserah indonesiasakkarepmu;cahya nisfu lailussabil;negative;anger
22/05/2020 13:13;['#covid19indonesia', '#indonesiaterserah'];orangorang merasa jenuh dan tak sabar ketika menunggu mereka ingin penantian mereka segera cepat selesai mereka tak sadar bahwa hidup adalah antrian menunggu mati perihal yang satu ini mereka tak lagi menginginkan cepat segeracovid19indonesiaindonesiaterserah pictwittercomuzfyyy8bip;wak jo;negative;sad
22/05/2020 13:13;['#indonesiaterserah'];kami capek ayo keluar rumah smuasegala upaya pemerintah tak diindahkan masyarakat sehingga para medis bikin tagar indonesiaterserah mreka sangat capek pak terutama rekan2 puspentni divhumaspolri mreka berjaga sampe ada kejadian di surabaya kmarin viral smuanya pictwittercomcqjyybpwb0;popkon;negative;anger
22/05/2020 13:12;['#coronavirus', '#covid_19', '#covid?19', '#covidiots', '#berkahadadirumah', '#indonesiaterserah', '#sakarepmu', '#indonesiawhatever'];yukkk anda yg ga takut sm musuh yg ga keliatan drpd ntar malah ketularan atau nularin tuh ada yg butuh bantuan lho buktikan keberanian kalian ok coronavirus covid19 covid19 covidiots berkahadadirumah indonesiaterserah sakarepmu indonesiawhatever pictwittercomnko0yulhw6;nyangkem;negative;anger
22/05/2020 13:09;['#indonesiaterserah'];sdh bingung juga mau gimana apalagi saya bukan siapa dok paling yg bs dilakuin buat pribadi jd org yg gak ngerugiin org aja dulu huhuhu indonesiaterserah;chandra atmaja;negative;sad
22/05/2020 13:04;['#indonesiaterserah'];kurvanya sudah menurun indonesiaterserah pictwittercombjgn47d5ey;the one and only lord;positive;joy
22/05/2020 13:03;['#indonesiaterserah'];highlight obrolan sersan serius tapi santai bersama dokterpodcast ada saya yang lagi ikutan beli pesawat di erpot tbob yang geter jantungan dan aseng yang nanya kaya anak magang sehat boleh asal jangan goblok indonesiaterserah ;trheino;negative;anger
22/05/2020 12:56;['#indonesiaterserahsukasukakalian', '#indonesiaterserah', '#terserahindonesia'];dan bisa mngkin di suntik mati krna ktrbtsan ktrsediaan itu semua tdk mnutup kmungkinan untuk dilakukan dr maupun tenaga medis ketika seseorang mencoba untuk berfikir realistis indonesiaterserahsukasukakalianindonesiaterserahterserahindonesia;theprottectorrr;negative;fear
22/05/2020 12:53;['#indonesiawhatever', '#indonesiaterserah'];coba dech pake apd selama 8 jam jangan dilepas nggak boleh makan nggak boleh minum trs awasi pasien corona baru tau gimana capeknya tenaga medis indonesiawhatever indonesiaterserah;abang acuy;negative;anger
22/05/2020 12:53;['#indonesiaterserah', '#dirumahaja'];sebuah komentar untuk kalian yang peduli akan dunia entah indonesiaterserah atau dirumahaja ya itu pilihan sih ga semua bisa sesuai selera lu tinggal lu milih aja pro kontra bos semuanya gaada yang salah apalagi yang bener tergantung perspektif yang lu pake ;boal;positive;
22/05/2020 12:52;['#indonesiamelawancovid19', '#indonesiaterserah'];maruf amin menyampaikan permintaan maaf kepada seluruh masyarakat indonesia karenacovid19belum hilang sampai saat inisemoga tidak di klarifikasi oleh istanaindonesiamelawancovid19 indonesiaterserah;syukran;negative;sad
22/05/2020 12:51;['#indonesiaterserah'];kadang mau mikir indonesiaterserah tapi kita muslim dimana kita tetap peduli meski yang lain tak peduli tetap taat meski yang lain tidak taat;magfur abi;positive;
22/05/2020 12:49;['#indonesiaterserah'];ruwet mas indonesiaterserah;pedagang keliling;negative;anger
22/05/2020 12:49;['#indonesiaterserah'];di tengah kurva kasus corona indonesia yang semakin melambung ketika banyak orang yang tidak mau dan mampu mengendalikan diri untuk mematuhi protokol pengendalian penularan kita juga menyaksikan kampanye indonesiaterserah yang menggambarkan kesedihan bahkan keputusasaan;stradjobasa;negative;sad
22/05/2020 12:48;['#indonesiaterserah', '#indonesiabertaqwa'];ganti hastag indonesiaterserah dengan indonesiabertaqwa;mantan pacar artis;positive;
22/05/2020 12:47;['#indonesiaterserah'];pecah telor 1000 orang yg dinyatakan positif covidindonesiaterserah tenaga medis sdh merasa lelah dgn perilaku orang yg tidak mematuhi psbb dalam menghadapi pandemi ini pictwittercomxkux6vxehp; ;negative;anger
22/05/2020 12:46;['#psbb', '#bajubaru', '#indonesiaterserah', '#mudik'];apa kita harus edo tensei bapak ini biar masalah kelar psbb bajubaruindonesiaterserah mudik pictwittercomljtjn2vhug;oposisi iblis;negative;anger
22/05/2020 12:45;['#indonesiaterserah']; wis buka ae tenaga medis gantian di rmh istirahat yg sakit covid19 g usah ke rmh sakit indonesiaterserah;moamera;negative;anger
22/05/2020 12:44;['#indonesiaterserah'];tu kan data lama halimiskandarnu kemensosri kemensos28 hemat anggaran adil kriteria tepat sasaran nalar prioritas bpkri kpkri kanalkpk fahiraidris myestiwijayati indonesiaterserah hujan bansos di medsos gerimis tipistipis di desa monitor pak jokowi; spd03;negative;
22/05/2020 12:44;['#jokowisilahkanmundur', '#selamatharirayaaidilfitri', '#jokowisilakanmundur', '#indonesiaterserah', '#indonesiasemakinmumet', '#indonesiasudahcapek'];jokowisilahkanmundur sejenak untuk selamatharirayaaidilfitri tidak pulang kampung tetapi jokowisilakanmundur indonesiaterserah indonesiasemakinmumet indonesiasudahcapek;bameswara;negative;anger
22/05/2020 12:42;['#indonesiaterserah'];ora danta indonesiaterserah;pardjimin;negative;anger
22/05/2020 12:40;['#indonesiaterserah'];gak kasian kamu tu sama aku yg nurut psbb udh mau 3 bln dirumah aja kalo kamu kayak gt terus kaum2 kek aku kapan ke duckdown nya indonesiaterserah;;negative;anger
22/05/2020 12:39;['#indonesiaterserah'];mudik ke rumah ibadah hangout ke emol yang katanya konser amal yang katanya lagi perpisahan di mcd hadeeeeh ga warga ga pemerintah bebal indonesiaterserah pictwittercomzzsesizcgb;hidup seperti larry;negative;anger
22/05/2020 12:38;['#indonesiaterserah'];update corona 22 mei 20796 positif 5057 sembuh masih terus tinggi kasus baru positif covid19 lawan atau damai silakan pilih indonesiaterserah bnpbindonesia kemenkesri;margondel;negative;fear
22/05/2020 12:37;['#viral', '#viralterbaru', '#indonesiaterserah', '#terserah', '#tenagamedis', '#doktersuster', '#marahmarah', '#covid19', '#1000positif', '#tenagamediskesal', '#ramadhan', '#viral2020', '#viralmei2020', '#lebaran2020']; tenaga medis ini marah marah indonesia terserahviralviralterbaruindonesiaterserahterserahtenagamedisdoktersustermarahmarahcovid191000positiftenagamediskesalramadhanviral2020viralmei2020lebaran2020;agung ardiansyah;negative;anger
22/05/2020 12:37;['#tenagamedis', '#apd', '#viruscorona', '#indonesiaterserah'];viral pria pakai apd teriak kami cape di jalan ajak warga keluar rumah apd viruscorona indonesiaterserah pictwittercomsumsmvhadj;melya kirana;negative;anger
22/05/2020 12:35;['#negarasukasuka', '#indonesiaterserah'];gmna mau berakhir kesadaran masyarakat nya begini ditambah pemerintah yg plin plannegarasukasukaindonesiaterserah;wily widjayanto;negative;anger
22/05/2020 12:31;['#indonesiaterserah'];yang pada nyinyirin nakes yang ikutan indonesiaterserah dan bilang itu tugas mereka karena mereka udah digaji gede kalian gantian jadi nakes yuk kan lumayan gajinya gede tajir mendadak garagara covid19 kan asyik yekan;a j g w l;negative;anger
22/05/2020 12:31;['#indonesiaterserah', '#indonesiajanganterserah', '#indonesiawhatever', '#indonesiajanganmenyerah'];sepertinya indonesia siap menuju herd immunity indonesiaterserahindonesiajanganterserahindonesiawhateverindonesiajanganmenyerah pictwittercomb7ipzsubfy;yurika agustina;negative;anger
22/05/2020 12:30;['#indonesiaterserah', '#indonesiajanganterserah'];pemkotbekasi tolong dong ini dibenahi bisa2 nya mau ada sholat id dimasa pandemijokowiridwankamiljawabaratjawabarattvgugustugaswsbindonesiaterserah indonesiajanganterserah pictwittercomh6re4lanjw;yunita asriyanti;negative;anger
22/05/2020 12:27;['#indonesiaterserah'];sedih indonesiaterserah pictwittercom2bxcppyrvi;kiki anggraeny;negative;sad
22/05/2020 12:26;['#indonesiaterserah'];indonesia basing kamuorang aja indonesiaterserah ;ade feron;negative;anger
22/05/2020 12:26;['#indonesiaterserah'];mall dibuka masjid ditutuppsbb tidak berjalan lancarindonesia terserah coba liat initiktok abahkenz indonesiaterserah pictwittercomj3hpgazsuc;monarchh;negative;anger
22/05/2020 12:23;['#covid', '#indonesiaterserah'];miris baca grup temenku sejawat lagi jaga di rumdin kenapa sih kalian masih ngeyel keliuran ini ga cmn buat 1 orang 2 orang ini buat bersama covid indonesiaterserah pictwittercom6hzq6w49nu;skifa chorin hayah;negative;anger
22/05/2020 12:19;['#indonesiaterserah'];kebijakan yg gak sinkron atas bawah pasti menimbulkan kekacauan yg tak terhinggaindonesiaterserah ;ariestho ms;negative;fear
22/05/2020 12:18;['#indonesiaterserah', '#indonesiawhatever'];teriak ga dapet bantuan sembako tapi bisa ngeborong ke emol sama beli daging di pasar buat lebaran hahahahaindonesiaterserahindonesiawhatever;ahmadkhulaifi;negative;anger
22/05/2020 12:17;['#indonesiaterserahsukasukakalian', '#indonesiaterserah'];jadi kurang berapa ratus lagi buat mecain rekor indonesiaterserahsukasukakalian indonesiaterserah;mitiyissh;negative;anger
22/05/2020 12:11;['#indonesiaterserah'];mereka juga manusia biasa mau seharian pake hazmat gitu berbulan2 malah indonesiaterserah pictwittercommgvrcdhm6x;tim penerbang roket;negative;sad
22/05/2020 12:11;['#indonesiaterserah'];baju baru alhamdulilah tuk di pakai di kamar jenazah suakarep2mu leek leekindonesiaterserah;dkdy;negative;anger
22/05/2020 12:11;['#indonesiaterserah'];well 12 orang di pasar kobong positif swab covid 19 barusanapakah akan di up oleh mediabuat temen temen yg baca ini sebisa mungkin jangan ke pasar tradisionalmodern atau keluar rumah dulu indonesiaterserah;sapardi;negative;fear
22/05/2020 12:10;['#indonesiaterserah'];kedepan ga berharap lg pandemi apalg bansos pak emildardakinstruksikan sj ke pemda pemdes buat se penegasan utk yg sdng berjalanagar seperti foto tsblebih adil mengedepankan nalar dlm prioritashemat anggaran tepat sasaran indonesiaterserah jatim percaya emildardak; spd03;positive;
22/05/2020 12:10;['#viral', '#viralterbaru', '#indonesiaterserah', '#terserah', '#tenagamedis', '#jokowisilahkanmundur', '#covid19', '#medis']; terharu team medis meminta izin pulang kerumah indonesia terserahviralviralterbaruindonesiaterserahterserahtenagamedisjokowisilahkanmundurcovid19medis;agung ardiansyah;negative;sad
22/05/2020 12:09;['#indonesiaterserah'];atas muncla mencle bawah ngeyel indonesiaterserah;misophonia;negative;anger
22/05/2020 12:09;['#indonesiaterserah'];kami capekindonesiaterserah ;manchester is red;negative;anger
22/05/2020 12:08;['#indonesiaterserah', '#indonesiaoptimis'];nggak ada lagi yang namanya tagar indonesiaterserah tapi kita ganti tagarnya menjadi indonesiaoptimis untuk menghadapi corona kita harus bersamasama tanamkan dalam fikiran masingmasing kalo indonesia bisa mengalahkan corona;super akbar;positive;love
22/05/2020 12:06;['#indonesiaterserah', '#awasprovokasisaatpandemi', '#kejaksaantanggapcovid19', '#mudiktetapdilarang', '#usutkartuprakerja', '#dirumahsaja'];butuh transparansi bukan konspirasi perang pejabat berdasimasyarakat susah makan nasi indonesiaterserah awasprovokasisaatpandemi kejaksaantanggapcovid19 mudiktetapdilarang usutkartuprakerja dirumahsaja ;andipettapuangkrdaeng;negative;anger
22/05/2020 12:05;['#indonesiaterserah'];yang bikin2 tagar indonesiaterserah trus liatin video keramaian mereka sadar ngga ya kalau mereka juga jadi salah penyumbang keramaian ituasiang2 sajah;fadli ramadhanil;negative;anger
22/05/2020 12:05;['#bimaarya', '#bansos', '#kecewa', '#bajulebaran'];baju baru alhamdulillah tuk dipakai di hari rayaeh tunggu2 terus ibuibu nya mau pamer ke siapa kalo lebarannya dalam sikon begini wonderful indonesiabimaarya bansos kecewa bajulebaran pictwittercom6nzknnaxfd;muhammad rinandar;negative;anger
22/05/2020 12:02;['#indonesiaterserah'];itu tandanya sedang stress depresi pak emildardakminimal galau baper capergimana tidak usia produktif tulang punggung keluarga kurang bisa akses bansoskrn kriteria pemdapemdesbukankah yg miskin serta tua sdh terjamin kis pkh bpnt umkm pkl nyesek pak indonesiaterserah; spd03;negative;anger
22/05/2020 12:02;['#indonesiaterserah', '#ngempetcrot', '#stupid19'];terserah mau keluar rumah keluar pulau keluar negeri keluar didalam indonesiaterserah ngempetcrot stupid19;muhammad adi setyawan;negative;anger
