date;hashtag;tweet;username;intent;emotion
14/07/2020 10:08;['#indonesiaterserah'];indonesia sudah benar benar benar ga tau mau gimana ngadepin ini indonesiaterserah;the next ironman;negative;sad
14/07/2020 09:32;['#kamuharustau', '#simalungung', '#bansos', '#rusuh'];warga meluapkan amarahnya lantaran jumlah paket sembako yang disediakan tidak sesuai dengan jumlah warga yang berhak menerimanya kamuharustau simalungung bansos rusuh ;indozone;negative;anger
14/07/2020 06:41;['#mendagri', '#titokarnavian', '#bansos', '#pilkada'];mendagri tito karnavian minta kepala daerah tak salah gunakan bansos untuk pilkada mendagri titokarnavian bansos pilkada via atuser;antv news;negative;anger
14/07/2020 06:33;['#garagaracorona'];belajar biasa serasa kayak lagi ujian duduknya sendiri2 di dalem kelas garagaracorona;azisah suci ayulia;negative;sad
14/07/2020 06:19;['#kartuprakerja'];selain untuk para pencari kerja kartu prakerja juga diberikan kepada para pekerja atau buruh terkena phk dan yang dirumahkan yang butuh kompetensi kerja termasuk pelaku umkm terdampak covid19 kartuprakerja ;kbr;positive;love
14/07/2020 05:15;['#mncnewsroom', '#pilkada', '#bansos', '#mendagri'];mendagri minta petahana tak politisasi bansos untuk pilkada mncnewsroom pilkada bansos mendagri ;mnc newsroom;negative;anger
14/07/2020 01:55;['#indonesiaterserah'];cuma org dungu mental indonesiaterserah;moch sutan agung;negative;anger
14/07/2020 01:08;['#indonesiaterserah'];virus corona di indonesia kapan puncak pandemi akan terjadi setelah penerapan new normal bbc news indonesia kesalahan dari awal skrg no hope herd immunity takdir atuser indonesiaterserah ;staysave;negative;fear
13/07/2020 23:38;['#kemendagri', '#pilkada2020', '#bansos'];tito ingatkan calon petahana tidak manfaatkan bansos corona dengan gambar diri kemendagri pilkada2020 bansos atuser atuser atuser atuser atuser atuser ;republik merdeka banten;negative;anger
13/07/2020 17:29;['#alkes', '#sembako', '#bansos', '#kampungtangguh', '#janggir', '#pertamina', '#corona', '#coronavirus', '#covid19', '#covid?Ÿ¬19', '#covid__19', '#covid_19', '#covid', '#rakyatmerdeka', '#rmcoid'];lawan covid pertamina serahkan alkes dan paket sembako untuk warga kampung tangguh jagir atuser alkes sembako bansos kampungtangguh janggir pertamina corona coronavirus covid19 covid19 covid19 covid19 covid rakyatmerdeka rmcoid ;rakyat merdeka;positive;
13/07/2020 14:52;['#titokarnavian', '#kepaladaerah', '#pemda', '#pilkada2020', '#bansos', '#pilkada2020serentak', '#corona', '#coronavirus', '#covid19', '#covid?Ÿ¬19', '#covid__19', '#covid_19', '#covid', '#rakyatmerdeka', '#rmcoid'];tito warning kepala daerah tak salah gunakan bansos untuk pilkada atuser titokarnavian kepaladaerah pemda pilkada2020 bansos pilkada2020serentak corona coronavirus covid19 covid19 covid19 covid19 covid rakyatmerdeka rmcoid ;rakyat merdeka;negative;anger
13/07/2020 13:02;['#headlinebogor', '#kabupatenbogor', '#ciaruteunudik', '#bansos', '#beritabogor', '#kabarbogor', '#infobogor'];headline bogor 320 keluarga ciaruteun udik peroleh bansos provinsi tahap ii headlinebogor kabupatenbogor ciaruteunudik bansos beritabogor kabarbogor infobogor;headlinebogor;positive;joy
13/07/2020 12:45;['#covid_19', '#bansos'];kebijakan pukul rata tanpa survey lapangan adil bukan berarti sama rata covid19 bansos;rintokagamine;negative;sad
13/07/2020 10:45;['#indonesiaterserah'];pemerintqh terlalu anggap remeh di awal kalau dah beginisiapa yg mo di salahkan warga dah banyak yg patuh di awal tp pemerintah sendiri yg melanggar ingat tagar indonesiaterserah;suka kopi dan ngopipasteh;negative;anger
13/07/2020 09:50;['#titokarnavian', '#pilkada2020', '#bansos'];menteri dalam negeri muhammad tito karnavian mengingatkan kepala daerah yang akan menjadi petahana atau maju kembali pada pilkada 2020 tidak menyalahgunakan bantuan sosial untuk kepentingan pilkada titokarnavian pilkada2020 bansos ;tempoco;negative;anger
13/07/2020 09:03;['#prakerja', '#kartuprakerja'];program kartu prakerja adalah program pengembangan kompetensi kerja yang ditujukan untuk pencari kerja pekerjaburuh yang terkena pemutusan hubungan kerja danatau pekerjaburuh yang membutuhkan peningkatan kompetensi prakerja kartuprakerja ;krishand software;positive;joy
13/07/2020 08:10;['#covid_19', '#indonesiaterserah', '#indonesiamelawancovid19'];dari normal baru ke beradaptasi dengan kebiasaan baru covid19 indonesiaterserah indonesiamelawancovid19 baca selengkapnya ;jagat olahraga;negative;sad
12/07/2020 23:08;['#indonesiaterserah'];solo zona hitam corona kasian negeri 62 keserakahan ekonomi inilah yg kalian tuai dg angka kematian tertinggi di asean apa yg mau dibanggakan atuser indonesiaterserah ;staysave;negative;anger
12/07/2020 17:08;['#indonesiaterserah'];11 ketika sedang ramai tagar indonesiaterserah dan orangorang seperti di gambar yang ditautkan pada artikel masih ada saja sekarang ;alwari dirumahaja bantusesama;negative;anger
12/07/2020 15:00;['#bansos'];csis idealnya realisasi belanja perlindungan sosial capai 50 dari pagu anggaran bansos;kontan news;positive;
12/07/2020 13:50;['#kartuprakerja'];anggota komisi ix dpr minta kartu prakerja dihentikan dan dialihkan jadi bansos kartuprakerja;kontan news;positive;
12/07/2020 13:33;['#indonesiaterserah'];buat siapapun anda yang ad di foto ini mending anda sadar diri aja akan kesalahannya jangan karena hanya bosan dirumah nyawa dipake jadi taruhan corona bukan mainan boskugua sengaja gk sensor supaya org ini bisa sadar diri indonesiaterserah ;mr roast;negative;anger
12/07/2020 12:17;['#indonesiaterserah', '#covid19'];kesel gw liat kelakuan oarang ngak bisa dibilangin kemarin lewat kalijodo malem hari itu lautan manusia ngak ada yg pake masker dan ngak ada jaga jarak kejadian yang sama di pantai pik hari ini dimana orang ramai banyak yg tidak pakai masker indonesiaterserah covid19;darwin;negative;anger
12/07/2020 11:40;['#kartuprakerja'];pekerja terdampak covid19 hingga umkm jadi prioritas kartu prakerja kartuprakerja;kontan news;positive;joy
12/07/2020 11:35;['#bansos'];realisasi belanja penanganan covid19 di bidang perlindungan sosial telah capai 356 bansos;kontan news;positive;joy
12/07/2020 11:23;['#peristiwa', '#kemensos', '#mensos', '#bansos', '#pekerjaotomotif'];para pekerja sektor otomotif anggota ikatan motor indonesia terdampak covid19 sampaikan apresiasi dan terima kasih atas bantuan kemensos peristiwa kemensos mensos bansos pekerjaotomotif ;netralnews;positive;joy
12/07/2020 09:44;['#indonesiaterserah'];bayangin bisa nafas gak netizen tenaga medis jangan ngeluh terus kan kalian sudah di bayar me betul kami dibayar tapi apa kalian tidak kasihan dengan diri anda dan keluarga anda indonesiaterserah ;ptm r;negative;anger
12/07/2020 09:02;['#kartuprakerja'];isentip prakerja 3 july 2020 sampe sekarang statusnya belum diproses pak atuser atuser atuser atuser atuser atuser atuser atuser atuser atuser atuser atuser atuser saya korban phk akibat pandemi covid19 ini pak kartuprakerja ;heru chibi;negative;sad
12/07/2020 08:46;['#bltdd', '#kecamatanpalas', '#bansos', '#metodeatm', '#lampostco'];penyaluran bantuan langsung tunai dana desa bltdd tahap kedua periode apriljuni di kecamatan palas lampung selatan menggunakan metode kartu anjungan tunai mandiri atm bltdd kecamatanpalas bansos metodeatm lampostco ;lampung post official;positive;
12/07/2020 05:54;['#pandemic', '#covid19', '#bansos'];kita dukung atuser untuk selidiki adanya dugaan penyelewengan penggunaan anggaran negara selama pandemic covid19 ini untuk di kota batam sendiri ada begitu banyak carut marut yang terjadi terkait penyaluran bansos sebagai dampak dari covid19 dbt;dbt  denny boy tampubolon;negative;anger
12/07/2020 05:53;['#kpk', '#pandemic', '#covid19', '#bansos'];kita dukung kpk untuk selidiki adanya dugaan penyelewengan penggunaan anggaran negara selama pandemic covid19 ini untuk di kota batam sendiri ada begitu banyak carut marut yang terjadi terkait penyaluran bansos sebagai dampak dari covid19 dbt ;dbt  denny boy tampubolon;negative;anger
12/07/2020 05:41;['#bansos', '#covid19', '#salingberbagi', '#klasika', '#bagisembako', '#lampostco', '#beritalampung'];covid19 telah memberikan dampak yang berkelanjutan hal mendorong masyarakat untuk saling membantu di tengah kesulitan yang dirasakan bansos covid19 salingberbagi klasika bagisembako lampostco beritalampung ;lampung post official;positive;love
12/07/2020 05:02;['#bansos', '#binong', '#corona', '#pemberianbansos', '#berita', '#beritahits', '#tangerang'];kelurahan binong memberikan bansos ke daerah binong permai curug kabupaten tangerang sabtu 1172020 bansos binong corona pemberianbansos berita beritahits tangerang kunjungi website dan channel youtube kami web yt beenong tv;beenong tv;positive;love
12/07/2020 03:50;['#wartatasik', '#beritaterkini', '#sosialbudaya', '#bansos', '#kemensos', '#tasikmalaya'];penyaluran bantuan kemensos di desa tanjungmekar 90 persen tersalurkan wartatasik beritaterkini sosialbudaya bansos kemensos tasikmalaya atuser;redaksi wartatasikcom;positive;joy
11/07/2020 18:52;['#indonesiaterserah'];indonesiaterserah biarkan aku di rumah aja kamu yang bekerja ;yogesvaraib;positive;anger
11/07/2020 18:41;['#bansos', '#polisiindonesia', '#polrestadeliserdang', '#polripeduli'];penyaluran dana bansos sekecamatan galang berjalan aman dan lancar karna ada pak polisi yang melaksanakan pengawalan bansos polisiindonesia polrestadeliserdang polripeduli ;polresta deli serdang;positive;joy
11/07/2020 09:10;['#pemkotbogor', '#bogorberlari', '#bansos', '#kelcibadak'];monitoring penyaluran bansos pkg dan bpnt di ewarung anggrek kelurahan cibadak pemkotbogor bogorberlari bansos kelcibadak ;diskominfokotabogor;positive;
11/07/2020 07:30;['#blt', '#danadesa', '#bansos', '#lamsel', '#lampostco'];sebanyak dua desa di kecamatan palas lampung selatan salurkan bantuan langsung tunai dana desa bltdd tahap kedua periode apriljuni blt danadesa bansos lamsel lampostco ;lampung post official;positive;love
11/07/2020 06:43;['#indonesiaterserah'];wes lah memang indonesiaterserah;ega sejawatsehat norista;negative;anger
11/07/2020 06:33;['#indonesiaterserah'];udah tau ekonomi melemah tapi ada yang manfaatin bisnis indonesia gak kekurangan sdm pintar tapi kekurangan sdm jujur percuma sekolah tinggi kalau penipu mana indonesiaterserah tapi oknum nya lucknut;stitch;negative;anger
11/07/2020 04:13;['#polrestulungagung', '#bansos', '#bantuanpangannontunai'];2 untuk mencegah adanya penyelewengan pemberian bantuan sosial untuk masyarakat polrestulungagung sudah memerintahkan satreskrim polres tulungagung polsek jajaran maupun bhabinkamtibmas untuk terlibat mengawasi proses pembagian bansos salah satunya bantuanpangannontunai ;radio patria;positive;
11/07/2020 03:34;['#bantuansosial', '#bansos'];2 kepada warga terdampak covid19 kata dia jika tahap pertama ada sekitar 42000 penerima bantuansosial bansos maka setelah dilakukan verifikasi faktual tahap ke2 jumlah penerima bansos mencapai 60976 penerima bansos;radio patria;positive;
10/07/2020 21:07;['#pilkada2020', '#pilkadatangsel', '#bawaslu', '#bansos'];kondisi masyarakat sedang susah abuse of power berpotensi terjadi pada pilkada ditengah pandemi pilkada2020 pilkadatangsel bawaslu bansos atuser atuser atuser atuser atuser atuser atuser ;mcmnewsid;negative;fear
10/07/2020 19:50;['#bansos', '#wargamiskin', '#satudata', '#corona', '#coronavirus', '#covid19', '#covid?Ÿ¬19', '#covid__19', '#covid_19', '#covid', '#rakyatmerdeka', '#rmcoid'];demi bantu masyarakat miskin menko muhadjir kejar penggunaan satu data atuser bansos wargamiskin satudata corona coronavirus covid19 covid19 covid19 covid19 covid rakyatmerdeka rmcoid ;rakyat merdeka;positive;love
10/07/2020 11:43;['#penyaluran', '#dana', '#bansos', '#lawancovid19', '#sumutlawancovid19', '#sumutbermartabat', '#pemprovsumut', '#edyrahmayadi', '#ijeck'];perbaiki dan lengkapi dtks wagubsu atuser sumut harapkan bantuan tahap ii tepat sasaran sumber atuser atuser atuser penyaluran dana bansos lawancovid19 sumutlawancovid19 sumutbermartabat pemprovsumut edyrahmayadi ijeck ;covid19 sumut;positive;love
10/07/2020 09:28;['#bansos', '#demokrasi', '#indonesia'];bansos tahap iii pemkab bolmong disalur duta demokrasi duta demokrasi demokrasi indonesia;demokrasi;positive;
10/07/2020 06:52;['#anggaran', '#bansos', '#bantuansosial'];alokasi anggaran bantuan sosial pada 2020 di kementerian sosial rp 10021 triliun hingga 9 juli 2020 6423 persen atau rp 6436 triliun dari uang tersebut sudah berpindah ke kantong masyarakat anggaran bansos bantuansosial ;tempoco;positive;
10/07/2020 06:34;['#peristiwa', '#kemensos', '#mensos', '#bansos'];bantuan sosial tunai bagi warga terdampak covid19 terus dilakukan oleh kemensos salah satunya di dua lokasi di kabupaten sukabumi jawa barat peristiwa kemensos mensos bansos ;netralnews;positive;
10/07/2020 05:48;['#bansos'];bhabinkamtibmas kel rangga mekar aiptu yahya monitoring dan pengamanan pembagian bansos dari kemensos tahap 3 berupa uang tunai senilai rp 600000 enam ratus ribu rupiah untuk 315 orangkk warga kel rangga mekar yang terdampak covid19 atuser bansos ;polsek bogor selatan;positive;
10/07/2020 05:35;['#bansos'];di 20122017 subsidi energi pemerintah sebagian dialihkan untuk program bansos apakah anggarannya sudah dibelanjakan dengan baik lihat analisis kami ;world bank indonesia;positive;
10/07/2020 04:42;['#covid__19', '#indonesiaterserah', '#indonesiamelawancovid19'];positif covid19 nambah 2000 kasus katanya pengen cepet selesai tapi nyatanya maskeran aja yang dimaskeri lehernya bukan mulut atau hidungnya ampun dah covid19 indonesiaterserah indonesiamelawancovid19;fikri yahya;negative;anger
10/07/2020 00:53;['#indonesiaterserah'];wes do kroso durung opo aku tok sx ngrasakne ya kecanggihan tekhnologi hampir menyerupai kuasanya alloh yen pingin ndang bubar yo terus2no indonesiaterserah ;antongrendhoy;negative;sad
09/07/2020 22:25;['#indonesiaterserah', '#indonesiaterserahpakde'];terbaiklah indonesia indonesiaterserah indonesiaterserahpakde ;youtuber pemalas;negative;sad
09/07/2020 16:09;['#bansos', '#tangerang', '#semmi']; bansos tangerang semmi;siarnitasid;positive;
09/07/2020 15:48;['#susipudjiastuti', '#bansos'];susipudjiastuti bansos sebab ia menilai pemberian bansos dalam bentuk makanan atau sembako berpotensi menimbulkan praktik korupsi ;serambi indonesia;negative;
09/07/2020 14:37;['#monitoring', '#bansos', '#corona', '#coronavirus', '#covid19', '#covid?Ÿ¬19', '#covid__19', '#covid_19', '#covid', '#rakyatmerdeka', '#rmcoid'];kpk lakukan monitoring implementasi bansos covid19 di dki jakarta dan kemendes pdtt atuser atuser atuser atuser monitoring bansos corona coronavirus covid19 covid19 covid19 covid19 covid rakyatmerdeka rmcoid ;rakyat merdeka;positive;
09/07/2020 13:45;['#jabarnews', '#beritalokal', '#beritahiperlokal', '#jabarkini', '#harianjabar', '#jabartoday', '#beritajabar', '#jabarterkini', '#bansos', '#mensos', '#kebutuhanpokok', '#dampakcovid19', '#kunker', '#sukabumi'];ingatkan lagi soal bansos mensos jangan dibelikan selain kebutuhan pokok link jabarnews beritalokal beritahiperlokal jabarkini harianjabar jabartoday beritajabar jabarterkini bansos mensos kebutuhanpokok dampakcovid19 kunker sukabumi ;jabar news;positive;
09/07/2020 13:13;['#aniesbaswedan', '#kpk', '#bansos'];kpk satroni kantor anies telisik data bansos dki aniesbaswedan kpk bansos;monitor indonesia;positive;
09/07/2020 12:28;['#indonesiaterserah'];hehehe indonesiaterserah;cumazaki;negative;anger
09/07/2020 11:50;['#indonesiaterserah', '#covid19'];mantap indo tambah 2675 besok sudah melampauin cina gila gila indonesiaterserah covid19 ;fran johanes chen;negative;fear
09/07/2020 08:09;['#lawancovid', '#pedulilindungi', '#bansos', '#tangsel', '#kamihadir'];bantuan sosial rapi lokal 03 kecamatan pondok aren atuser lawancovid pedulilindungi bansos tangsel kamihadir ;rapi kota tangsel;positive;
09/07/2020 05:25;['#covid19', '#covid19sumut', '#bansos', '#kpk', '#dialogue', '#musarajekshah'];saksikan live interaktif pengawasan penyaluran dana bansos pada masa tanggap bencana covid19 kamis 9 juli 2020 pukul 1700 wib hanya di tvri jangan sampai kelewatan yaaa covid19 covid19sumut bansos kpk dialogue musarajekshah ;bpsdmprovsumut;positive;love
09/07/2020 05:21;['#psbbjakarta', '#newnormalindonesia', '#newnormalpulihkanekonomi', '#covid19', '#coronavirus', '#indonesiaterserah', '#psbbtransisi', '#newnormal'];psbbjakarta newnormalindonesia newnormalpulihkanekonomi covid19 coronavirus meroket lagi indonesiaterserah psbbtransisi newnormal ;trafficjakarta;negative;fear
09/07/2020 04:43;['#bansos', '#bogor', '#covid19'];data 17018 penerima itu adalah data bersih dan telah menerima bansos tahap pertama pada bulan mei 2020 bogor covid19 ;antara megapolitan;positive;
09/07/2020 02:52;['#covid19', '#covid19sumut', '#bansos', '#kpk', '#dialogue', '#musarajekshah'];saksikan live interaktif pengawasan penyaluran dana bansos pada masa tanggap bencana covid19 kamis 9 juli 2020 pukul 1700 wib hanya di tvri covid19 covid19sumut bansos kpk dialogue musarajekshah ;dinas kominfo sumut;positive;love
08/07/2020 19:51;['#indonesiaterserah'];bingung sama spesies sendiri dapet bansos covid bukannya buat beli sembako ini mah malah dipake buat liburan indonesiaterserah;sinoflife;negative;anger
08/07/2020 17:30;['#indonesiaterserah'];dan semuanya berita hari ini semoga kita masih kaget juga masih berempati waspada saat membaca berita seperti ini jangan gegara new normal terus anggep ini kabar normal indonesiaterserah ;kamal;negative;sad
08/07/2020 14:05;['#bansos'];aksi nyata nasdem jakarta untuk warga jakarta gencar dilakukan terutama oleh kader nasdem yang kini berada di kursi legislatif salah satunya pemberian bansos yang rutin tiap minggunya dilakukan oleh anggota fraksi nasdem dprd dki jakarta ahmad jupiter lukman bansos ;nasdemjakarta;positive;love
08/07/2020 13:59;['#indonesiabisa', '#indonesiaterserah'];untuk selesaikan covid19 mereka banyak masalah yang berantai perlu diselesaikan dahulu semoga mereka berjaya harunginya indonesiabisa atau indonesiaterserah;alfirus ahmad;negative;sad
08/07/2020 13:53;['#indonesiaterserah'];wis sak karepmu indonesiaterserah sak enak cangkemmu ae;;negative;anger
08/07/2020 13:50;['#indonesiaterserah'];indonesiaterserah wis ngono wae;budi susilo;negative;anger
08/07/2020 13:46;['#indonesiaterserah'];semoga masih takut akan siksa yg sesungguhnyamau pilih neraka atau surgaitu indonesiaterserah;djumjum;negative;fear
08/07/2020 13:04;['#indonesiaterserah'];oia sama om tante dan dikadik yang tiap sore atau pagi keluar rumah naik motor ga pake helm cuman celingak celinguk doang kaya sampah baiknya dikremasi indonesiaterserah;ye666azi;negative;anger
08/07/2020 12:36;['#bansos', '#warga', '#karangtaruna'];sampe pakde atuser bansos warga karangtaruna ;diky wahyuansyah m;positive;
08/07/2020 12:13;['#savemusisi', '#musisicafe', '#covid19', '#garagaracovid19', '#garagaracorona', '#musisidemo', '#demomusisi', '#demojakarta', '#demosantuy'];kami hanya ingin bekerja kembali pak atuser atuser atuser jrxsid drtirta savemusisi musisicafe covid19 garagaracovid19 garagaracorona musisidemo demomusisi demojakarta demosantuy ;valentino valagia;negative;sad
08/07/2020 12:06;['#indonesiasiappeoplepower', '#horrorbanget', '#bapakbapaksenyum', '#indonesiaterserah'];time terhorror yg paling menakutkan adalah ketika melihat bapakbapak menggunakan masker yg model senyum di jalanan indonesiasiappeoplepower horrorbanget bapakbapaksenyum indonesiaterserah;ridho;negative;fear
08/07/2020 09:09;['#bosandirumah', '#garagaracorona'];bosen banget libur corona cepatlah berlalu bosandirumah garagaracorona;c;negative;sad
08/07/2020 08:40;['#medan', '#edyrahmayadi', '#covid19', '#bansos'];mahasiswa di kota medan mempertanyakan kepada gubernur sumut edyrahmayadi bantuan pihak ketiga soal penanganan covid19 bansos ;whynote;negative;anger
08/07/2020 06:22;['#jawabarat', '#bansos', '#covid?Ÿ¬19'];pemprov jabar melalui dinsos jawabarat agar segera menyalurkan bantuan sosial bansos bagi warga terdampak covid19 mulai 9 juli 2020 ;whynote;positive;
08/07/2020 04:34;['#covid19', '#bansos', '#sembako', '#dprdkabblitar', '#hulondalo', '#hulondaloid'];pengawasan dilapangan akan dilakukan dprd kabupaten blitar terhadap penyaluran bansos tahap ii covid19 bansos sembako dprdkabblitar hulondalo hulondaloid ;hulondaloid;positive;
08/07/2020 03:09;['#bansos'];bandung pemerintah daerah pemda provinsi jawa barat jabar terus berupaya menyelesaikan penyaluran bansos;portaljabar;positive;
08/07/2020 03:02;['#covit19', '#lockdownindonesia'];instruksi presiden ri secara lisan dan tertulis kepada aparatur negara untuk menertibkan masyarakat yang tidak memakai masker saat berkomunikasi di publik merupakan hal yang mendasar mengatasi covid19atuser covit19 lockdownindonesia;agustan mauldy;negative;
08/07/2020 02:52;['#apakabaripk', '#covid19', '#indonesiaterserah'];amerika masih di urutan 1ayo indonesia jgn mau kalah usaha terus biar bisa nyaingin amerikayok bisa yok mau pandemik cepat selesai tapi makin berulah makasih para jingan2 vangkesaya udah 4 bulan cuma di rumah apakabaripk covid19 indonesiaterserah ;titaaaaaaa;negative;anger
08/07/2020 02:16;['#indonesiaterserah'];org tuanya aj ga peduli nyerbu mall indonesiaterserah;flinus;negative;anger
08/07/2020 01:27;['#covid?Ÿ¬19', '#lockdownindonesia'];dapat 1 lagi pdp dengan rapid test iggigm berhasil rujuk sesuai protokolercovid19 mau sampai kapan berlangsungnya nihsaran utk dilkkan lockdownindonesia ke2pcr test bagi seluruh rakyat indonesia dimanapun berada;bhakti surya lesmana;negative;sad
07/07/2020 19:34;['#covid19', '#bansoscovid19', '#bansos', '#presidenri', '#polsekpesanggrahan'];personil bhabinkamtibmas polsek pesanggrahan bersama babinsa kel bintaro monitoring pendistribusian bansos presiden ri tahap vi yang diperuntukkan bagi warga yang terdampak covid19 bansoscovid19 bansos presidenri polsekpesanggrahan ;polsek pesanggrahan;positive;
07/07/2020 19:28;['#indonesiaterserah'];uwe kin indonesiaterserah agi;abangbackticentang prenank;negative;anger
07/07/2020 16:13;['#acehhebat', '#bansos', '#mahasiswa', '#bansosmahasiswaaceh', '#verifikasi'];berkas melalui email yang ditujukan ke tupimacehatuser lanjutan di acehhebat bansos mahasiswa bansosmahasiswaaceh verifikasi;humas pemerintah aceh;positive;
07/07/2020 15:14;['#disdukcapil', '#kpm', '#danadesa', '#bansos', '#lampungpostid'];bagi kpm yang belum menerima bltdd tahap pertama itu secepatnya akan diurus di disdukcapil lamsel disdukcapil kpm danadesa bansos lampungpostid ;lampungpostid;positive;joy
07/07/2020 13:47;['#bansos', '#papua', '#papuabarat', '#corona', '#coronavirus', '#covid19', '#covid?Ÿ¬19', '#covid__19', '#covid_19', '#covid', '#rakyatmerdeka', '#rmcoid'];tersendat muhadjir minta penyaluran bansos di papua barat dipercepat atuser atuser bansos papua papuabarat corona coronavirus covid19 covid19 covid19 covid19 covid rakyatmerdeka rmcoid ;rakyat merdeka;positive;
07/07/2020 12:14;['#bansos', '#pandemic', '#koransindo'];politisasi bansos covid19 jelas tidak pantas apalagi agar menang pilkada atuser awasi lebih ketat bansos pandemic koransindo atuser ;pung purwanto;negative;anger
07/07/2020 09:45;['#indonesiaterserah']; apakah pemerintah tidak paham ini indonesiaterserah;mz hand;negative;anger
07/07/2020 09:19;['#bansos', '#bsttahap3'];bantuan sosial tunai bst 2020 tahap 3 dari kemensos ri pelaksanaan tanggal 7 sd 14 juli 2020 download dokumen bansos bsttahap3 ;diskominfokotabogor;positive;
07/07/2020 09:05;['#indonesiaterserah'];indonesiaterserah aja ;;negative;anger
07/07/2020 08:32;['#jabarnews', '#beritalokal', '#beritahiperlokal', '#jabarkini', '#harianjabar', '#jabartoday', '#beritajabar', '#jabarterkini', '#poldajabar', '#modusbaru', '#peredarannarkoba', '#pandemi', '#sindikatnarkoba', '#bansos'];polda jabar sebut ada modus baru peredaran narkoba saat pandemi link jabarnews beritalokal beritahiperlokal jabarkini harianjabar jabartoday beritajabar jabarterkini poldajabar modusbaru peredarannarkoba pandemi sindikatnarkoba bansos ;jabar news;negative;
07/07/2020 07:45;['#mncnewsroom', '#bansos', '#covid19'];oknum lurah di sibolga dicopot diduga gelapkan bansos covid19 mncnewsroom bansos covid19 ;mnc newsroom;negative;anger
07/07/2020 07:24;['#jabarnews', '#beritalokal', '#beritahiperlokal', '#jabarkini', '#harianjabar', '#jabartoday', '#beritajabar', '#jabarterkini', '#jabar', '#alumniakabri1989', '#bantuansembako', '#purwakarta', '#tni', '#polri', '#bansos', '#covid19'];alumni akabri 1989 salurkan bantuan sembako di purwakarta link jabarnews beritalokal beritahiperlokal jabarkini harianjabar jabartoday beritajabar jabarterkini jabar alumniakabri1989 bantuansembako purwakarta tni polri bansos covid19 ;jabar news;positive;love
07/07/2020 06:51;['#negrikuambyar', '#jokowi', '#kementrianindonesia', '#kabinetkerja', '#indonesia', '#indonesiaterserah'];jangan malah sibuk buat kalung yang belum terbukti khasiatnyaapa ini dimarahi anggaran malah buat yang anehaneh negrikuambyar jokowi kementrianindonesia kabinetkerja indonesia indonesiaterserah;hanny;negative;anger
