date;hashtag;tweet;username;intent;emotion;Rand
02/06/2020 06:59;['#bansos', '#covid19', '#bansosbebaskorupsi'];lebih dari 1500 orang sudah mendukung petisi ini kalau kamu juga mau mendukung agar bansos lebih tepat sasaran memiliki pengawasan yg lebih baik tanda tangani petisinya d ya atau klik tautan linktree di bio kami bansos covid19 bansosbebaskorupsi;idea yogyakarta;negative;;0,718736971
05/06/2020 10:08;['#oknum', '#korupsi', '#pungli', '#covid19', '#psbb', '#dana', '#bansos', '#blt'];kenyataannya di lapangan terdapat beberapa celah yang dimanfaatkan oleh oknumoknum tidak bertanggungjawab memang rasanya peluang untuk bisa cari duit bagi para oknum ini seperti darah bagi hiu meskipun jauh pasti tercium korupsi pungli covid19 psbb dana bansos blt;dreamers lab;negative;anger;0,588994977
31/05/2020 01:46;['#indonesiaterserah'];indonesiaterserah aja sih ini stayed home for almost 3 months hoping for the better and they dropped the bomb just like that ;megan emily;negative;anger;0,041320263
17/06/2020 05:04;['#bansos', '#lampung', '#kpk', '#lampost'];kisah bansos lampung masuk dapur kpk lampost ;delima natalia napitupulu;negative;;0,970184363
11/06/2020 16:36;['#kemensoshadir', '#juliaribatubara', '#bansos'];kesesuaian data nama dan alamat tersebut diperlukan agar penyerahan bantuan tepat sasaran tepat anggaran jika data tepat pemerintah menurunkan bantuan kepada warga yg membutuhkan cc atuser atuser kemensoshadir juliaribatubara bansos;satriya mudha;positive;;0,803970347
08/06/2020 01:44;['#bansos'];ada perubahan besaran bansos yang diterima masyarakat berikut rinciannya bansos via atuser ;detikcom;positive;;0,161762168
07/07/2020 05:20;['#bansos', '#surabaya', '#databansos', '#penyaluranbansos', '#corona', '#coronavirus', '#covid19', '#covid_19', '#covid', '#rakyatmerdeka', '#rmcoid'];top news koran rakyat merdeka kpk terima 621 keluhan penyaluran bansos laporan paling banyak dari warga surabaya atuser bansos surabaya databansos penyaluranbansos corona coronavirus covid19 covid19 covid rakyatmerdeka rmcoid ;rakyat merdeka;negative;;0,805725217
01/06/2020 01:54;['#indonesiaterserah', '#penjarakanabujanda'];atuser atuser wah ini cocok nih utk jabatan yg masih kosong bro posisinya wakatidal wakil kepala penitipan sandal indonesiaterserah penjarakanabujanda ;radmila;negative;anger;0,850923925
22/05/2020 14:27;['#pdip', '#mesuji', '#lampung', '#bansos'];pdip mesuji salurkan paket sembako untuk warga terdampak pdip mesuji lampung bansos ;haluan lampung;positive;love;0,983599219
08/07/2020 12:06;['#indonesiasiappeoplepower', '#horrorbanget', '#bapakbapaksenyum', '#indonesiaterserah'];time terhorror yg paling menakutkan adalah ketika melihat bapakbapak menggunakan masker yg model senyum di jalanan indonesiasiappeoplepower horrorbanget bapakbapaksenyum indonesiaterserah;ridho;negative;fear;0,902093283
07/06/2020 00:41;['#bansos', '#blt'];salut omaga seperti yg lain ada yg msh dpt gaji n msh produktif dapet blt malah di perjual belikan jadi blt ga tepat sasaran bansos blt ;jenie fengshui;negative;sad;0,372598642
10/06/2020 08:34;['#indonesiaterserah'];suka2 kelenlahindonesiaterserah;junjungan 25 jigo;negative;anger;0,506627365
05/07/2020 10:25;['#indonesiaresesi', '#indonesiaterserah'];fantastis sebelumnya maskapai garuda indonesia merumahkan karyawannya dan pilotnya sekarang maskapai lion air memecat 3000 karyawannya indonesia di tangan bpkatuser atuser ambyar indonesiaresesi indonesiaterserah ;ryan;negative;sad;0,117967306
29/05/2020 02:26;['#indonesiaterserah', '#indonesiabisa', '#kitajagakita', '#kitamestimenang', '#kitapastibisa'];dari frontliners malaysia jangan bilang indonesiaterserah bilang indonesiabisa kitajagakita kitamestimenang kitapastibisa ;z h a m;positive;love;0,868754833
02/06/2020 12:45;['#bansos'];kemendes revisi target penerima blt dana desa jadi 8 juta kpm bansos;kontan news;positive;;0,184864212
07/06/2020 04:36;['#bansos', '#pedulirakyatdesa'];tim teman2 dari kebumen aja mengantarkan bansos ke daerah gunung yg tidak terjangkau mobil dimana mereka untuk ambil bansos dari pemerintah harus keluar uang ke kota malu ga sih mereka yg menerima bansos tapi padahal mereka masih mampu kerja sehat bansos pedulirakyatdesa ;jenie fengshui;negative;anger;0,579039394
22/05/2020 11:45;['#bansos'];menteri desa pdtt 38 juta warga sudah terima blt dana desa bansos;kontan news;positive;;0,681185116
13/06/2020 12:00;['#kemensoshadir', '#bansos', '#juliaribatubara', '#banten', '#kabserang'];kementerian sosial menyalurkan 10000 paket bantuan sosial sembako berisi beras 5 kg minyak 2 liter sarden 7 kaleng mi instan 12 bks kepada 51 pondok pesantren di provinsi banten cc atuser atuser kemensoshadir bansos juliaribatubara banten kabserang;satriya mudha;positive;love;0,679498941
10/07/2020 11:43;['#penyaluran', '#dana', '#bansos', '#lawancovid19', '#sumutlawancovid19', '#sumutbermartabat', '#pemprovsumut', '#edyrahmayadi', '#ijeck'];perbaiki dan lengkapi dtks wagubsu atuser sumut harapkan bantuan tahap ii tepat sasaran sumber atuser atuser atuser penyaluran dana bansos lawancovid19 sumutlawancovid19 sumutbermartabat pemprovsumut edyrahmayadi ijeck ;covid19 sumut;positive;love;0,47554228
23/05/2020 00:01;['#indonesiaterserah', '#covid?19', '#indonesiamelawancovid19'];semangat selalu tenaga medis indonesiaterserah covid19 indonesiamelawancovid19 pictwittercomplitttbsmc;opi;positive;love;0,841574352
04/06/2020 14:48;['#kartuprakerja', '#jokowi', '#corona'];ketika banyak pekerja kena lockdown dan phk pengamat nilai program kartu prakerja jokowi cukup mantul kartuprakerja jokowi corona;monitor indonesia;positive;joy;0,787464608
04/06/2020 15:15;['#bansos'];lihat bagaimana sistem perlindungan sosial di indonesia memberikan rasa aman bagi masyarakat miskin dan rentan melalui berbagai program kesehatan dan bansos apa yang perlu ditingkatkan unduh laporan baru kami ;world bank indonesia;positive;love;0,415772905
09/07/2020 22:25;['#indonesiaterserah', '#indonesiaterserahpakde'];terbaiklah indonesia indonesiaterserah indonesiaterserahpakde ;youtuber pemalas;negative;sad;0,245626045
13/06/2020 08:25;['#kemensoshadir', '#juliaribatubara', '#kabserang', '#bansos', '#banten', '#linetoday'];line today kabupaten serang dapat paket sembako dari mensos cc atuser atuser kemensoshadir juliaribatubara kabserang bansos banten linetoday;satriya mudha;positive;;0,433166487
13/06/2020 07:58;['#mensos', '#juliaribatubara', '#kemensoshadir', '#bansos', '#banten'];mensos sebar 10 ribu paket sembako di pondok pesantren di banten cc atuser atuser atuser mensos juliaribatubara kemensoshadir bansos banten;satriya mudha;positive;love;0,51284237
11/06/2020 09:05;['#indonesiaterserah', '#newnormal'];gak paham lagi sumpahindonesiaterserah newnormal ;bobby pratama;negative;anger;0,665628299
10/06/2020 07:00;['#kemensos', '#kemensoshadir', '#gracebatubara', '#juliaribatubara', '#bansos'];grace mengungkapkan dirinya merasa senang setelah melihat antusias warga yg sadar menerapkan protokol kesehatan dengan memakai masker dan itu menjadi hal yg positif cc atuser atuser atuser kemensos kemensoshadir gracebatubara juliaribatubara bansos;satriya mudha;positive;joy;0,223429926
29/05/2020 03:00;['#kemensos', '#mensos', '#juliaribatubara', '#kemensoshadir', '#bansos'];mensos usul jutaan petani dan nelayan terima bansos reguler cc atuser atuser kemensos mensos juliaribatubara kemensoshadir bansos;satriya mudha;positive;love;0,755607172
21/05/2020 20:22;['#indonesiaterserah', '#covid_19', '#coronavirus', '#polisiindonesia'];wiih mantap nih helm nya pak polisi dari polda riau bisa mendeteksi secara langsung suhu tubuh manusia semoga para dokter dan pejuang covid19 yg digarda terdepan mendapatkan fasilitas yg sama staysafe selaluindonesiaterserah covid19 coronavirus polisiindonesia pictwittercomy8c7u7bqc0;septialdo nursukma;positive;joy;0,004670013
30/05/2020 09:27;['#indonesiaabnormal', '#indonesiaterserah'];korea selatan kembali perketat pembatasan sosial setelah new normal gagal referensi utk para pembantu atuser biar tdk salah kaprah dg new normal indonesiaabnormal indonesiaterserah ;staysave;negative;sad;0,876789752
07/06/2020 04:16;['#jakartaterserah', '#indonesiaterserah', '#jakartabebas'];ini lah himbauan pemerintah kumpul2 tidak pake masker jakartaterserah indonesiaterserah atuser atuser atuser atuser jakartabebas ;ahmad azinudin;negative;;0,285386595
30/05/2020 12:44;['#indonesiaterserah']; di suruh stay d rumah pada protes katanya gabisa kerja gak ada penghasilan sekarang d kasih new normal katanya pembunuhan masal di kira duit negara unlimited kali yah bs ngehidupin kalian rebahan dear manusia please jangan halu indonesiaterserah;lara moli ;negative;anger;0,767657363
07/06/2020 04:27;['#bansos', '#sapawarga', '#jabarlawancovid19'];bagaimana pengalaman ketua rw anggota karang taruna dan penerima bantuan tentang verifikasi data bansos lewat aplikasi sapawarga simak cerita mereka di video berikut jabarlawancovid19 ;disperindag jabar;positive;;0,688379613
09/06/2020 01:11;['#covid19', '#indonesiaterserah'];penanggulangan covid19 itu yg terbaik di pulau jawa itu versi buzzernya didukung satu media trs merasa paling berpeluang di 2024 padahal halu nya mereka tunjkan dulu kerjamu indonesiaterserah ;golputers;negative;anger;0,526594312
14/07/2020 17:23;['#kemensoshadir', '#juliaribatubara', '#bansos']; sebagai bagian dari ikhtiar pengawasan kemensos meminta polri kpk untuk bersama meminta proses penyaluran bansos terutama di dki jakarta bodetabek sekaligus melakukan dialog secara langsung dgn para penerima bansos katanya kemensoshadir juliaribatubara bansos;satriya mudha;positive;love;0,509040908
31/05/2020 15:07;['#kebijakansemrawut', '#indonesiaterserah', '#ripotak'];itu yang update foto liburan dikala wabah begini otaknya lagi istirahat ya kebijakansemrawut indonesiaterserah ripotak;cittoo;negative;anger;0,88670834
14/06/2020 03:17;['#indonesiaterserah'];coba liat yang kemarin koar koar indonesiaterserah ujungnya berwisata juga kan ;a;negative;anger;0,680033376
29/05/2020 17:37;['#indonesiaterserah', '#kebijakansemrawut', '#disiplinpolahidupbaru', '#disiplinprotokolnewnormal'];penindakan tegas buat para warga yang tidak memakai masker di ambon maluku indonesiaterserah kebijakansemrawut disiplinpolahidupbaru disiplinprotokolnewnormal ;faktasix dunia;positive;love;0,492616923
09/06/2020 10:00;['#bansos'];polisi selidiki kasus bansos pemprov sumut di taput ;whynote;negative;;0,996508292
23/05/2020 14:31;['#indonesiaterserah'];dari lorong lorong gang hingga bahu jalan protokol berkumandang takbir dengan penuh kebahagiaan merayakan kemenangan walau negeri ini tak sedang baik baik sajaindonesiaterserah;oh;positive;joy;0,516337982
06/07/2020 11:19;['#pemkotmalang', '#kelurahanbandulan', '#bansos'];pembagian bantuan sosial tunai bst kementrian sosial tahap keiii bagi warga terdampak covid19 kepada 483 kpm di kelurahan bandulan senin 6 juli 2020 pemkotmalang kelurahanbandulan bansos ;kelurahan bandulan;positive;;0,565355864
23/05/2020 00:45;['#indonesiaterserah', '#indonesiamelawancovid19'];lekas pulih indonesia ku indonesiaterserah indonesiamelawancovid19 pictwittercomxwxbq2uhzq;faridatul mukarromah;positive;love;0,741844
12/07/2020 03:50;['#wartatasik', '#beritaterkini', '#sosialbudaya', '#bansos', '#kemensos', '#tasikmalaya'];penyaluran bantuan kemensos di desa tanjungmekar 90 persen tersalurkan wartatasik beritaterkini sosialbudaya bansos kemensos tasikmalaya atuser;redaksi wartatasikcom;positive;joy;0,135370772
28/05/2020 11:42;['#kartuprakerja', '#phk', '#corona', '#covid19', '#bantuansosial', '#blt', '#hipmi'];pelaku usaha mengapresiasi paket stimulus yang diberikan pemerintah dalam merespons adanya pandemi covid19 namun ada kebijakan yang perlu ditinjau ulang baca kelanjutan beritanya di sini kartuprakerja phk corona covid19 bantuansosial blt hipmi ;ddtcnews;positive;joy;0,49753466
03/07/2020 11:09;['#bansos', '#danadesa'];kerawanan penyelewengan bansos tingkat desa bansos danadesa ;koran memo;negative;fear;0,298423661
27/06/2020 06:07;['#jurnalpatrolinews', '#buleleng', '#bansos', '#baktisosialpolri', '#polresbuleleng', '#semuabisapunyaemas', '#finelinesp'];serangkaian hari bhayangkara ke74 polsek singaraja salurkan bingkisan buat purnawirawan warakawuri jurnalpatrolinews buleleng bansos baktisosialpolri polresbuleleng semuabisapunyaemas finelinesp;jurnal patroli news;positive;love;0,185244703
21/05/2020 15:55;['#indonesiaterserah', '#indonesiasalingmemahami'];mari melihat dari banyak sisi semoga tidak ada tetangga kita yang kelaparan saat hari raya nanti indonesiaterserah harus berubah jadi indonesiasalingmemahami indonesia bisa;pemain emyu;positive;sad;0,59221575
08/07/2020 14:05;['#bansos'];aksi nyata nasdem jakarta untuk warga jakarta gencar dilakukan terutama oleh kader nasdem yang kini berada di kursi legislatif salah satunya pemberian bansos yang rutin tiap minggunya dilakukan oleh anggota fraksi nasdem dprd dki jakarta ahmad jupiter lukman bansos ;nasdemjakarta;positive;love;0,540693069
12/07/2020 05:41;['#bansos', '#covid19', '#salingberbagi', '#klasika', '#bagisembako', '#lampostco', '#beritalampung'];covid19 telah memberikan dampak yang berkelanjutan hal mendorong masyarakat untuk saling membantu di tengah kesulitan yang dirasakan bansos covid19 salingberbagi klasika bagisembako lampostco beritalampung ;lampung post official;positive;love;0,233554403
21/05/2020 18:45;['#indonesiamelawancovid19', '#indoneisajanganmenyerah', '#indonesiaterserah', '#indonesiaterarah'];well thats the truthyour decision is on your handsuarakan kebenaranungkap kebatilanselamatkan negerilakukan yang terbaik yang bisa kita lakukanindonesiamelawancovid19indoneisajanganmenyerahindonesiaterserahindonesiaterarahgeloraco gambio7 spiritofislam4;petir merah;positive;;0,043635066
30/05/2020 06:45;['#indonesiaterserah'];lah gimana gak nambahmasih banyak orang yang keluyuran kokdi ptc sama pakuwon aja masih banyak pengunjungblum lagi tpblum lagi gmblum lagi patomblum lagi itc aku ae sakno karo bu risma e sing wes kerja tiap hari gawe ngurusi masyarakat sby iki indonesiaterserah;thou tao;negative;anger;0,957750427
01/06/2020 03:22;['#dicium', '#dirumahaja', '#disiplinpolahidupbaru', '#indonesiaterserah', '#indonesiaterserahpakde'];hai juni apa kabar dengan indonesia ku yg masih dicium covid19 semoga tetap berjaya dengan pancasila dan tetap menikmati panasnya mentari karena kita dirumahaja disiplinpolahidupbaru indonesiaterserah indonesiaterserahpakde;  ;negative;sad;0,273832304
25/06/2020 08:08;['#majalahagrina', '#agrina', '#perum', '#bulog', '#penyaluran', '#bantuan', '#sosial', '#bansos', '#covid19', '#jabodetabek', '#kemensos', '#bulog', '#beras'];perum bulog sukses menyelesaikan penugasan dari pemerintah berupa penyaluran bantuan sosial bansos beras presiden tahap i dan ii majalahagrina agrina perum bulog penyaluran bantuan sosial bansos covid19 jabodetabek kemensos bulog beras ;majalah agrina;positive;joy;0,756695962
17/06/2020 22:47;['#bansos'];pengen beli beras shirataki tp beras dari bansos msh ada 3 karung lg;lastiar grace m;negative;;0,099261645
17/06/2020 21:04;['#indonesiaterserah'];tolong ini yang komplen siapa waras apa ngga indonesiaterserah ;erly;negative;anger;0,181957277
26/05/2020 07:40;['#teamhumas', '#bansos', '#kabarsiangtvone', '#kompassiang', '#metrosiang'];selamat siang mbak drr sama2 mas novan drr teamhumas mengucapkan minal aidin walfaidzin mhon maaf lahir batin atas sgala khilaf kata perbuatan thanks atas info bansos utk 12 stsiun tv lagi update berita korona kabarsiangtvone kompassiang metrosiang ;teamhumas;positive;love;0,220340248
30/05/2020 04:46;['#indonesiaterserah', '#indonesiaabnormal', '#indonesiaambyar'];indonesiaterserah indonesiaabnormal indonesiaambyar bude q di jatim profesi dokter pagi ini positif covid19 nurani kalian yg menjd buzz3r dan fitnah dokter surabaya bakalan di bayar tuntas tenaga medis tumbang rakyat pasti tumbang jalan ke mal jgn lupa beli nyawa y ;moamera;negative;anger;0,57166334
13/06/2020 12:14;['#kemensos', '#kemensoshadir', '#juliaribatubara', '#bansos', '#banten'];untuk selanjutnya bantuan sosial sembako ini diberikan kepada para pengurus santri yg tinggal di beberapa ponpes yg tersebar di wilayah provinsi banten cc atuser atuser atuser kemensos kemensoshadir juliaribatubara bansos banten;satriya mudha;positive;love;0,336347205
17/06/2020 12:03;['#bansos'];menko pmk muhadjir effendy menyebutkan terdapat beberapa permasalahan yang perlu diperbaiki pemerintah dalam menyalurkan bansos bansos ;jpnncom;negative;;0,546279301
26/06/2020 15:30;['#bansos'];realisasi penyaluran program perlindungan sosial mencapai 34 bansos;kontan news;positive;;0,812878448
09/06/2020 14:15;['#covid19', '#indonesiaterserah'];yeah hundred again covid19 indonesiaterserah;kicauan obeth;negative;anger;0,624347979
30/06/2020 06:24;['#kartuprakerja', '#insentifcair'];direktur komunikasi manajemen pelaksana kartu prakerja panji w ruky mengatakan insentif uang tunai semi bansos untuk para peserta pelatihan online kartu prakerja sudah dapat dicairkan ikuti petunjuk cara pencairannya ya kartuprakerja insentifcair ;pansosgarislucu;positive;joy;0,426058393
30/06/2020 07:46;['#bansos', '#covid_19', '#ridwankamil'];telur dalam bansos kerap bermasalah mulai dari mudah membusuk ataupun mudah rusak pemprov jabar akan ganti telur dengan susu covid19 ridwankamil ;whynote;negative;sad;0,809895143
22/06/2020 04:57;['#viral', '#itsokaynottobeokay', '#newnormal', '#indonesiaabnormal', '#indonesiasehat', '#indonesiaterserah'];ready to new normal yg seber nya nya gimana kota kalian setelah new normal gaes tambah gawat masih aman viral itsokaynottobeokay newnormal indonesiaabnormal indonesiasehat indonesiaterserah ;grenanda;negative;sad;0,037974625
16/06/2020 15:29;['#juliaribatubara', '#kemensoshadir', '#banpres', '#bansos'];menteri sosial atuser menyerahkan bantuan sosial ssmbako presiden ri kepada keluarga purnawirawan eks pejuang timor timur timtim untuk membantu meringankan beban akibat pandemi covid19 cc atuser juliaribatubara kemensoshadir banpres bansos ;satriya mudha;positive;love;0,504443129
13/06/2020 05:50;['#bansos', '#giatkapolsek'];kapolsek karangmojo kompol h sunaryo sh mh memantau pelaksanaan penyaluran bst bantuan sosial tunai di balai desa gedangrejo kecamatan karangmojo gunungkidul bansos giatkapolsek ;humas polsek karangmojo;positive;;0,357891362
05/06/2020 04:03;['#garagaracorona', '#bersatulawancovid19'];mau sampai kapan psbb ini selesai garagaracorona bersatulawancovid19;azwardin elnizar;negative;sad;0,379740591
28/06/2020 16:40;['#jokowi', '#umkm', '#anggaran', '#tenagamedis', '#bansos', '#kemensos', '#phk', '#rakyatmerdeka', '#rmcoid'];pembayaran untuk tenaga kesehatan tolong dikeluarkan jokowi sentil menkes anggaran rp 75 t baru keluar 153 persen atuser atuser jokowi umkm anggaran tenagamedis bansos kemensos phk rakyatmerdeka rmcoid ;rakyat merdeka;negative;anger;0,797025645
06/06/2020 07:48;['#keciduk', '#dirumahaja', '#batam', '#pln', '#brightpln', '#suryakepri', '#indonesiaterserah', '#bintan', '#natuna', '#anambas', '#tanjungpinang', '#karimun', '#jakarta', '#surabayawani', '#anonymus', '#plnatasicorona', '#bulan1000kejutan', '#covid?Ÿ¬19', '#covid', '#newyork', '#papualivesmatter']; keciduk dirumahaja batam pln brightpln suryakepri indonesiaterserah bintan natuna anambas tanjungpinang karimun jakarta surabayawani anonymus plnatasicorona bulan1000kejutan covid19 covid newyork papualivesmatter;suryakepricom;negative;;0,688673175
16/06/2020 05:57;['#infomoga', '#bansos', '#covid19'];alwi 21 pria asal kecamatan moga pemalang tersebut telah mendapat kiriman satu paket sembako dari pemerintah provinsi pemprov jawa tengah senin 1562020 kemarin infomoga bansos covid19 atuser atuser atuser selengkapnya ;infomoga;positive;love;0,895536032
07/07/2020 04:28;['#kelurahanbandulan', '#pemkotmalang', '#bansos'];berikut mimin rangkum beberapa point yang harus diperhatikan saat melakukan pencairan bantuan sosial tunai bst agar tidak terjadi kerumunan antrian warga yang menumpuk semoga bermanfaat karena disiplin adalah vaksin virus corona kelurahanbandulan pemkotmalang bansos ;kelurahan bandulan;positive;love;0,868879136
27/05/2020 13:48;['#terompetbaghdad', '#stayathome', '#covid19', '#indonesiabisa', '#kartuprakerja', '#prakerja', '#audrey'];ketua mpr respons isu aktual dari kartu prakerja sampai ketahanan pangan terompetbaghdad stayathome covid19 indonesiabisa kartuprakerja prakerja audrey via atuser;terompetbaghdad;positive;love;0,099495731
30/05/2020 13:20;['#kemensos', '#kemensoshadir', '#bansos', '#juliaribatubara'];kemensos kebut penyaluran bansos untuk warga terdampak corona cc atuser atuser kemensos kemensoshadir bansos juliaribatubara;satriya mudha;positive;joy;0,241092991
16/06/2020 15:50;['#juliaribatubara', '#kemensoshadir', '#bansos', '#banpres'];untuk itu mensos juliari bersama ketua mpr bambang soesatyo menyerahkan langsung bansos sembako presiden ri untuk masyarakat terutama bagi keluarga purnawirawan pejuang bangsa cc atuser atuser atuser juliaribatubara kemensoshadir bansos banpres;satriya mudha;positive;love;0,030816223
02/06/2020 13:12;['#indonesiaterserah', '#rasisme'];dunia sudah gilaa sudah corona rakyat nyalain pemerintahan rakyat saling hujat terus ngejelekin paramedis sekarang ada lagi tentang kabar rasis plislah yoww berdamai indonesiaterserah rasisme;     ;negative;sad;0,515544601
05/07/2020 17:12;['#peristiwa', '#kementeriansosial', '#kemensos', '#juliaribatubara', '#bansos'];mensos menginstruksikan seluruh jajaran kementerian sosial untuk memastikan akselerasi penyaluran bantuan sosial peristiwa kementeriansosial kemensos juliaribatubara bansos ;netralnews;positive;love;0,3343754
04/06/2020 10:45;['#bansos', '#pansos'];hadehh mau pansos aja harus gini bansos ehh salah hastag pansos maksudnya hehehe ;bukan artist;negative;anger;0,974721221
22/05/2020 22:56;['#indonesiaterserah'];saatnya bilang indonesiaterserah tapi bukan menyerah ;aiguu kamcagiya;positive;sad;0,562753448
30/05/2020 14:23;['#bansos', '#mesuji', '#lampung'];soal tumpang tindih bansos pak kades di mesuji wajib tahu ini bansos mesuji lampung ;haluan lampung;negative;anger;0,557611272
07/06/2020 23:14;['#covid19', '#indonesiaterserah', '#indonesiaabnormal'];yey coba grafik ini nandain pertumbuhan ekonomi weh indo juara diantara negara tetangga malahanya ini datanya fatality rate dari corona e covid19 indonesiaterserah indonesiaabnormal ;dzikrullah umam;negative;anger;0,037672861
08/07/2020 13:50;['#indonesiaterserah'];indonesiaterserah wis ngono wae;budi susilo;negative;anger;0,355992955
30/06/2020 14:28;['#bansos', '#demokrasi', '#indonesia'];bansos tahap iii dalam waktu dekat disalurkan duta demokrasi demokrasi indonesia;demokrasi;positive;;0,712868006
07/06/2020 04:38;['#indonesiaterserah', '#rakyatingat'];pejabat juga manusia yg tak luput dari salah dan khilaf tapi kalau diingatkan jgn marah dan menuduh makar ya bos indonesiaterserah rakyatingat;ardan;negative;anger;0,500347802
29/05/2020 04:11;['#indonesia', '#keepfighting', '#indonesiaterserah'];indonesia keepfighting indonesiaterserah ;ares idzhar;positive;love;0,900678686
02/07/2020 06:47;['#riaupos', '#blt', '#bltrp250ribu', '#bltdipotong', '#bansos'];tak ada istilah uang administrasi riaupos blt bltrp250ribu bltdipotong bansos ;riaupos29tahun;negative;anger;0,32767574
14/06/2020 04:21;['#indonesiaterserah'];sabtu sehat malming santuy sambil gowes satu pertanyaan faedahnya apa coba sehat yang ada kena virus dengan lo bersepeda sama ngumpul gitu bisa ningkatin ekonomi gak yang ada ningkatin gengsi lo nurutin instastory sama wa story pantesan indonesiaterserah;bukan cerdikiawan;negative;anger;0,309514664
02/07/2020 14:25;['#bansos'];4 selama pandemi gedung tempat kami bekerja tutup total lalu kami dialihkan ke perbantuan packing bansos kurang lebih 4 bulan disana tapi tidak full 4 bulan sebab ada jeda selama beberapa minggu lalu lanjut kembali sampai saat ini ;manntos;negative;;0,816280284
08/06/2020 08:05;['#polsekkubu', '#lansia', '#berita', '#nusabali', '#bansos'];polsek kubu bantu lansia kurang mampu polsekkubu lansia berita nusabali bansos;nusabalicom;negative;love;0,885267799
29/05/2020 13:03;['#bansos'];kami laporkan bawah bansos ini baik bansos paket sembako atau bantuan tunai akan dilanjuti dari julidesember 2020 kata juliari bansos ;detikcom;positive;joy;0,7398107
22/05/2020 18:53;['#indonesiaterserah'];tetap semangat walo indonesiaterserah pictwittercomtbfbm9qkhi;bedhi ghassan;positive;love;0,890924603
30/05/2020 15:27;['#dirumahaja', '#indonesiaterserah', '#dekatdihati', '#rakyatdukungnewnormal', '#malming'];piala ini udah 2 tahun lalu aku wong jowo kopine jawa ora bali dirumahaja indonesiaterserah dekatdihati rakyatdukungnewnormal met malming ;dewangga kopi magelang;positive;joy;0,209160693
22/05/2020 23:35;['#indonesiaterserah'];maksudnya jaman udah digitalisasi ada platform belanja yg lebih praktis dan ga perlu ambil resikoindonesiaterserah;unnamed;positive;;0,656706664
09/07/2020 04:43;['#bansos', '#bogor', '#covid19'];data 17018 penerima itu adalah data bersih dan telah menerima bansos tahap pertama pada bulan mei 2020 bogor covid19 ;antara megapolitan;positive;;0,933007128
26/05/2020 17:42;['#newnormal', '#indonesiamelawancovid19', '#indonesiaterserah', '#indonesianewnormal', '#indonesiatanggapcorona'];setuju dengan new normal newnormal indonesiamelawancovid19 indonesiaterserah indonesianewnormal indonesiatanggapcorona;lewaru syafrudin;positive;;0,625316287
25/06/2020 10:18;['#bansos'];kita hilangkan kita hapus yang ada data terpadu kesejahteraan sosial yang ternyata di lapangan sudah tidak layak lagi bansos ;kbr;positive;;0,914077504
19/06/2020 12:52;['#kompolmas', '#bansos'];16 kk desa suka maju mendadak kaya kompolmas bansos ;kompolmastv;negative;anger;0,470552524
